"","location","elevation","elev_units","coords.x1","coords.x2","optional"
"1960","32-NW",275,"meters",-112.604416,59.677497,TRUE
"1961","330-NW",300,"meters",-110.962219,57.668617,TRUE
"1962","388-NW",310,"meters",-111.48172,57.341125,TRUE
"1963","413-NW",682,"meters",-113.110275,57.323272,TRUE
"1964","414-NW",737,"meters",-112.846794,57.294983,TRUE
"1965","443-NW",636,"meters",-113.191315,57.134647,TRUE
"1966","474-NW",519,"meters",-112.872215,56.952861,TRUE
"1967","512-NW",455,"meters",-110.742599,56.56314,TRUE
"1968","544-NW",469,"meters",-110.536407,56.315376,TRUE
"1969","632-NW",502,"meters",-112.605103,55.979862,TRUE
"1970","663-NW",559,"meters",-113.027748,55.847248,TRUE
"1971","856-NW",580,"meters",-112.058853,54.65763,TRUE
"1972","857-NW",595,"meters",-111.759758,54.640964,TRUE
"1973","599-NW",566,"meters",-112.856621,56.223064,TRUE
"1974","1022-NW",611,"meters",-111.788589,53.676139,TRUE
"1975","1024-NW",616,"meters",-111.22509,53.639076,TRUE
"1976","1056-NW",656,"meters",-111.814735,53.557827,TRUE
"1977","1057-NW",673,"meters",-111.518913,53.477196,TRUE
"1978","265-NW",361,"meters",-112.842941,58.207672,TRUE
"1979","329-NW",266,"meters",-111.269035,57.668869,TRUE
"1980","331-NW",362,"meters",-110.613266,57.633213,TRUE
"1981","360-NW",413,"meters",-110.709099,57.468082,TRUE
"1982","3-NW",214,"meters",-111.849083,59.94268,TRUE
"1983","444-NW",537,"meters",-112.87368,57.164497,TRUE
"1984","474-NW",519,"meters",-112.872215,56.952861,TRUE
"1985","544-NW",469,"meters",-110.536407,56.315376,TRUE
"1986","545-NW",483,"meters",-110.207954,56.264293,TRUE
"1987","576-NW",468,"meters",-110.32367,56.107593,TRUE
"1988","632-NW",502,"meters",-112.605103,55.979862,TRUE
"1989","663-NW",559,"meters",-113.027748,55.847248,TRUE
"1990","857-NW",595,"meters",-111.759758,54.640964,TRUE
"1991","989-NW",589,"meters",-111.749352,53.857868,TRUE
"1992","991-NW",613,"meters",-111.167091,53.823879,TRUE
"1993","1023-NW",657,"meters",-111.449608,53.671288,TRUE
"1994","1024-NW",616,"meters",-111.22509,53.639076,TRUE
"1995","1058-NW",658,"meters",-111.241508,53.439002,TRUE
"1996","296-NW",701,"meters",-112.561646,57.981269,TRUE
"1997","330-NW",300,"meters",-110.962219,57.668617,TRUE
